Participant zone,L0R1,Time,A,B,X,Y,
1,0,3.579,1,0,0,0,
1,0,4.26,-1,0,0,1,
1,0,4.619,-1,0,1,-1,
2,0,4.44,0,1,0,0,
2,0,4.81,0,-1,0,1,
2,0,4.311,1,-1,0,-1,
3,0,5.301,0,1,0,0,
3,0,6.771,0,-1,0,1,
3,0,5.11,1,-1,0,-1,
4,0,5.421,0,1,0,0,
4,0,6.32,0,-1,0,1,
4,0,5.581,1,-1,0,-1,
5,0,6.09,1,0,0,0,
5,0,7.32,-1,0,1,0,
5,0,7.729,-1,0,-1,1,
6,0,7.751,0,1,0,0,
6,0,7.91,0,-1,0,1,
6,0,6.39,1,-1,0,-1,
1,0,4.42,1,0,0,0,
1,0,4.621,-1,0,1,0,
1,0,4.05,-1,1,-1,0,
2,0,4.389,0,1,0,0,
2,0,4.92,0,-1,0,1,
2,0,5.371,1,-1,0,-1,
3,0,4.809,1,0,0,0,
3,0,5.32,-1,0,1,0,
3,0,4.22,-1,1,-1,0,
4,0,3.93,0,1,0,0,
4,0,5.35,0,-1,0,1,
4,0,5.32,1,-1,0,-1,
5,0,5.44,1,0,0,0,
5,0,6.63,-1,0,1,0,
5,0,7.14,-1,0,-1,1,
6,0,6.169,0,1,0,0,
6,0,6.59,0,-1,0,1,
6,0,5.78,1,-1,0,-1,
1,0,4.911,1,0,0,0,
1,0,4.621,-1,0,0,1,
1,0,4.801,-1,1,0,-1,
2,0,4.59,0,1,0,0,
2,0,3.49,0,-1,0,1,
2,0,3.5,1,-1,0,-1,
3,0,4.559,1,0,0,0,
3,0,4.619,-1,0,1,0,
3,0,4.58,-1,1,-1,0,
3,0,5.17,1,0,0,0,
4,0,4.231,-1,0,1,0,
4,0,4.499,-1,1,-1,0,
5,0,4.769,1,0,0,0,
5,0,5.199,-1,0,0,1,
5,0,4.879,-1,1,0,-1,
6,0,5.7,0,1,0,0,
6,0,4.671,0,-1,0,1,
6,0,4.689,1,-1,0,-1,
1,0,6.52,0,0,1,0,
1,0,5.55,1,0,-1,0,
1,0,5.7,-1,0,-1,1,
2,0,4.2,0,0,0,1,
2,0,5.601,1,0,0,-1,
2,0,5.31,-1,1,0,-1,
3,0,5.519,0,1,0,0,
3,0,6.4,0,-1,0,1,
3,0,6.96,1,-1,0,-1,
4,0,4.71,0,1,0,0,
4,0,5.219,0,-1,0,1,
4,0,8.14,1,-1,0,-1,
5,0,7.02,0,0,1,0,
5,0,7.77,0,1,-1,0,
5,0,6.549,1,-1,-1,0,
6,0,6.871,0,1,0,0,
6,0,6.35,0,-1,0,1,
6,0,6.16,1,-1,0,-1,
1,0,4.01,0,1,0,0,
1,0,3.14,1,-1,0,0,
1,0,4.289,-1,-1,0,1,
2,0,3.579,0,0,1,0,
2,0,3.69,1,0,-1,0,
2,0,2.539,-1,1,-1,0,
3,0,4.35,0,0,1,0,
3,0,4.51,1,0,-1,0,
3,0,4.38,-1,1,-1,0,
4,0,4.13,0,0,0,1,
4,0,4.253,0,1,0,-1,
4,0,3.9,1,-1,0,-1,
5,0,6.72,0,1,0,0,
5,0,5.515,0,-1,0,1,
5,0,5.631,1,-1,0,-1,
6,0,5.849,0,0,1,0,
6,0,5.401,0,1,-1,0,
6,0,6.49,0,-1,-1,1,
1,0,7.491,0,0,0,1,
1,0,3.78,0,0,1,-1,
1,0,3.18,0,1,-1,-1,
2,0,3.77,1,0,0,0,
2,0,3.09,-1,1,0,0,
2,0,3.27,-1,-1,1,0,
3,0,4.899,0,0,0,1,
3,0,4.35,0,0,1,-1,
3,0,4.52,0,1,-1,-1,
4,0,4.759,1,0,0,0,
4,0,4.141,-1,1,0,0,
4,0,5.09,-1,-1,1,0,
5,0,6.071,0,0,0,1,
5,0,5.871,0,0,1,-1,
5,0,5.771,0,1,-1,-1,
6,0,4.559,1,0,0,0,
6,0,4.62,-1,1,0,0,
6,0,4.37,-1,-1,1,0,
1,0,4.81,0,1,0,0,
1,0,5.52,0,-1,0,1,
1,0,5.079,1,-1,0,-1,
2,0,4.219,0,0,1,0,
2,0,4.78,1,0,-1,0,
2,0,6.04,-1,0,-1,1,
3,0,5.61,1,0,0,0,
3,0,6.721,-1,0,1,0,
3,0,5.57,-1,1,-1,0,
4,0,4.8,0,1,0,0,
4,0,5.481,0,-1,1,0,
4,0,6.2,1,-1,-1,0,
5,0,6.145,1,0,0,0,
5,0,6.869,-1,1,0,0,
5,0,6.4,-1,-1,1,0,
6,0,5.911,0,1,0,0,
6,0,6.2,0,-1,1,0,
6,0,8.539,0,-1,-1,1,
1,0,4,0,1,0,0,
1,0,4,1,-1,0,0,
1,0,4,-1,-1,0,1,
2,0,5.38,0,1,0,0,
2,0,5.62,0,-1,0,1,
2,0,6.21,1,-1,0,-1,
3,0,7.07,1,0,0,0,
3,0,6.47,-1,0,1,0,
3,0,8.494,-1,0,-1,1,
4,0,5.371,0,0,1,0,
4,0,6.39,1,0,-1,0,
4,0,5.91,-1,0,-1,1,
5,0,8.749,1,0,0,0,
5,0,7.04,-1,0,1,0,
5,0,8.28,-1,0,-1,1,
6,0,7.23,0,0,0,1,
6,0,7.96,1,0,0,-1,
6,0,6.88,-1,1,0,-1,
1,0,4.151,1,0,0,0,
1,0,4.44,-1,0,1,0,
1,0,4.591,-1,1,-1,0,
2,0,4.471,0,1,0,0,
2,0,5.84,1,-1,0,0,
2,0,3.72,-1,-1,0,1,
3,0,6.031,1,0,0,0,
3,0,5.079,-1,0,1,0,
3,0,5.7,-1,0,-1,1,
4,0,4.901,0,1,0,0,
4,0,5.71,1,-1,0,0,
4,0,5.771,-1,-1,0,1,
5,0,7.21,1,0,0,0,
5,0,6.481,-1,1,0,0,
5,0,6.531,-1,-1,0,1,
6,0,6.484,1,0,0,0,
6,0,6.97,-1,1,0,0,
6,0,6.409,-1,-1,0,1,
1,0,5.431,1,0,0,0,
1,0,4.73,-1,0,1,0,
1,0,5.45,-1,0,-1,1,
2,0,5.95,0,0,1,0,
2,0,6.19,1,0,-1,0,
2,0,5.261,-1,0,-1,1,
3,0,7.43,1,0,0,0,
3,0,8.7,-1,0,0,1,
3,0,7.739,-1,1,0,-1,
4,0,5.94,0,0,0,1,
4,0,6.34,0,1,0,-1,
4,0,7.42,1,-1,0,-1,
5,0,6.73,1,0,0,0,
5,0,6.42,-1,0,1,0,
5,0,8.02,-1,0,-1,1,
6,0,7.42,0,0,1,0,
6,0,7.08,1,0,-1,0,
6,0,5.459,-1,0,-1,1,
1,0,5.31,0,1,0,0,
1,0,6.66,0,-1,0,1,
1,0,4.96,1,-1,0,-1,
2,0,5.109,0,0,1,0,
2,0,4.92,1,0,-1,0,
2,0,4.38,-1,0,-1,1,
3,0,6.76,0,1,0,0,
3,0,6.961,0,-1,0,1,
3,0,6.261,1,-1,0,-1,
4,0,6.089,0,0,1,0,
4,0,5.52,1,0,-1,0,
4,0,5.93,-1,0,-1,1,
5,0,8.07,0,0,0,1,
5,0,7.52,1,0,0,-1,
5,0,6.989,-1,0,1,-1,
6,0,6.59,0,0,0,1,
6,0,5.5,0,1,0,-1,
6,0,7.441,1,-1,0,-1,
1,0,5.61,1,0,0,0,
1,0,5.51,-1,0,1,0,
1,0,6.19,-1,0,-1,1,
2,0,4.76,0,0,1,0,
2,0,5.49,1,0,-1,0,
2,0,5.86,-1,0,-1,1,
3,0,5.89,1,0,0,0,
3,0,6.75,-1,0,1,0,
3,0,6.57,-1,0,-1,1,
4,0,5.64,0,1,0,0,
4,0,5.839,0,-1,0,1,
4,0,6.52,1,-1,0,-1,
5,0,7.52,1,0,0,0,
5,0,8.01,-1,0,1,0,
5,0,7.24,-1,0,-1,1,
6,0,7.11,0,0,1,0,
6,0,7.259,1,0,-1,0,
6,0,6.801,-1,0,-1,1,
